SOURCE CONTAINER	SOURCE CELL	BARCODE	DESTINATION CELL	AMOUNT	AMOUNT UNIT
	G09		N17	10	uL
	H09		P17	10	uL
	A10		B19	10	uL
	B10		D19	10	uL
	C10		F19	10	uL
	D10		H19	10	uL
	E10		J19	10	uL
	F10		L19	10	uL
	G10		N19	10	uL
	H10		P19	10	uL
	A11		B21	10	uL
	B11		D21	10	uL
	C11		F21	10	uL
	D11		H21	10	uL
	E11		J21	10	uL
	F11		L21	10	uL
	G11		N21	10	uL
	H11		P21	10	uL
	A12		B23	10	uL
	B12		D23	10	uL
	C12		F23	10	uL
	D12		H23	10	uL
	E12		J23	10	uL
	F12		L23	10	uL
	G12		N23	10	uL
	H12		P23	10	uL
	A01		B2	10	uL
	B01		D2	10	uL
	C01		F2	10	uL
	D01		H2	10	uL
	E01		J2	10	uL
	F01		L2	10	uL
	G01		N2	10	uL
	H01		P2	10	uL
	A02		B4	10	uL
	B02		D4	10	uL
	C02		F4	10	uL
	D02		H4	10	uL
	E02		J4	10	uL
	F02		L4	10	uL
	G02		N4	10	uL
	H02		P4	10	uL
	A03		B6	10	uL
	B03		D6	10	uL
	C03		F6	10	uL
	D03		H6	10	uL
	E03		J6	10	uL
	F03		L6	10	uL
	G03		N6	10	uL
	H03		P6	10	uL
	A04		B8	10	uL
	B04		D8	10	uL
	C04		F8	10	uL
	D04		H8	10	uL
	E04		J8	10	uL
	F04		L8	10	uL
	G04		N8	10	uL
	H04		P8	10	uL
	A05		B10	10	uL
	B05		D10	10	uL
	C05		F10	10	uL
	D05		H10	10	uL
	E05		J10	10	uL
	F05		L10	10	uL
	G05		N10	10	uL
	H05		P10	10	uL
	A06		B12	10	uL
	B06		D12	10	uL
	C06		F12	10	uL
	D06		H12	10	uL
	E06		J12	10	uL
	F06		L12	10	uL
	G06		N12	10	uL
	H06		P12	10	uL
	A07		B14	10	uL
	B07		D14	10	uL
	C07		F14	10	uL
	D07		H14	10	uL
	E07		J14	10	uL
	F07		L14	10	uL
	G07		N14	10	uL
	H07		P14	10	uL
	A08		B16	10	uL
	B08		D16	10	uL
	C08		F16	10	uL
	D08		H16	10	uL
	E08		J16	10	uL
	F08		L16	10	uL
	G08		N16	10	uL
	H08		P16	10	uL
	A09		B18	10	uL
	B09		D18	10	uL
	C09		F18	10	uL
	D09		H18	10	uL
	E09		J18	10	uL
	F09		L18	10	uL
	G09		N18	10	uL
	H09		P18	10	uL
	A10		B20	10	uL
	B10		D20	10	uL
	C10		F20	10	uL
	D10		H20	10	uL
	E10		J20	10	uL
	F10		L20	10	uL
	G10		N20	10	uL
	H10		P20	10	uL
	A11		B22	10	uL
	B11		D22	10	uL
	C11		F22	10	uL
	D11		H22	10	uL
	E11		J22	10	uL
	F11		L22	10	uL
	G11		N22	10	uL
	H11		P22	10	uL
	A12		B24	10	uL
	B12		D24	10	uL
	C12		F24	10	uL
	D12		H24	10	uL
	E12		J24	10	uL
	F12		L24	10	uL
	G12		N24	10	uL
	H12		P24	10	uL
